generation,best_fitness,best_so_far_fitness,mean_fitness,median_fitness,std_fitness,evaluation_count,elapsed_seconds
0,0.6205961835265158,0.6205961835265158,0.2405590334395534,0.3443337784640154,0.3436422859689419,120,20.051832146942616
1,0.7712807865855676,0.7712807865855676,0.2985733876705813,0.35822648363592313,0.2456460772049931,240,4.676324639469385
2,0.7712807865855676,0.7712807865855676,0.20667300512413603,0.3298079601055197,0.39816599933946245,360,4.898935567587614
3,0.8255355912320169,0.8255355912320169,0.23204354648365716,0.34264693146304354,0.3640094882844902,480,4.700239390134811
4,0.8340607618652202,0.8340607618652202,0.2775740925622965,0.32935379048692787,0.21949267038853365,600,5.413807554170489
5,0.8340607618652202,0.8340607618652202,0.29797980084829245,0.3526696051910557,0.34028025951290286,720,4.449152801185846
6,0.960188126260848,0.960188126260848,0.38883770882968133,0.3904167655911489,0.2467534277570282,840,4.693720102310181
7,1.1752606142193143,1.1752606142193143,0.4790890269671998,0.46553735663825957,0.3172385116228901,960,4.465297430753708
8,1.1876741837467648,1.1876741837467648,0.39903366497112325,0.35743466275625274,0.29758129591501153,1080,4.489496923983097
9,1.1876741837467648,1.1876741837467648,0.42359498108918814,0.4009663130726363,0.34521878696778435,1200,4.926865143701434
10,1.1876741837467648,1.1876741837467648,0.45572548677970415,0.4295969728675276,0.22278167818931016,1320,4.376581376418471
11,1.1876741837467648,1.1876741837467648,0.48285044479647715,0.4391608068982626,0.3256497768153364,1440,4.49405113607645
12,1.1876741837467648,1.1876741837467648,0.4121053012454878,0.39958561642287493,0.3461129079313555,1560,4.5401890352368355
13,1.1876741837467648,1.1876741837467648,0.5835880589431273,0.6348393636087494,0.31304206625877634,1680,4.66042167134583
14,1.1876741837467648,1.1876741837467648,0.45773054008882436,0.42899789111447717,0.2724458792886815,1800,4.644702430814505
15,1.1876741837467648,1.1876741837467648,0.5721829624076672,0.6404857759832218,0.27873909004957714,1920,4.825854416936636
16,1.1876741837467648,1.1876741837467648,0.540067306748335,0.6516274488649387,0.3449787690150114,2040,4.80651063285768
17,1.1876741837467648,1.1876741837467648,0.5125198582924166,0.4787286286505652,0.33575767263068107,2160,5.022530032321811
18,1.1876741837467648,1.1876741837467648,0.6346188611628427,0.6540564615141021,0.23130330418846468,2280,4.166287956759334
19,1.1876741837467648,1.1876741837467648,0.5118799152364829,0.5021555152331765,0.2904728294683834,2400,4.297144439071417
20,1.2353576149787624,1.2353576149787624,0.555330317039202,0.43489396523991486,0.32216876825020174,2520,4.455760519951582
21,1.2353576149787624,1.2353576149787624,0.45849063289045233,0.40508065354969847,0.3387603016725306,2640,4.557256780564785
22,1.2353576149787624,1.2353576149787624,0.5883296838573663,0.5979960974408844,0.3411031856995249,2760,4.895653855055571
23,1.2353576149787624,1.2353576149787624,0.6231773119230162,0.6533588202205538,0.3046626736354695,2880,4.96201604232192
24,1.2353576149787624,1.2353576149787624,0.7018533297033812,0.7386608456057946,0.30229144283138476,3000,4.170772025361657
25,1.240446830879247,1.240446830879247,0.6699272916899802,0.76296540760866,0.27873103119820763,3120,4.507493492215872
26,1.246553948299432,1.246553948299432,0.6082739930982163,0.5873460475090273,0.3015121955746434,3240,4.716802561655641
27,1.2545910797647788,1.2545910797647788,0.633424425374989,0.6474388470540813,0.4024406501603782,3360,4.569653106853366
28,1.2545910797647788,1.2545910797647788,0.6173678643362338,0.5432178974706603,0.37275535833323364,3480,3.7374018561095
29,1.2545910797647788,1.2545910797647788,0.6768720538159394,0.6675608438375331,0.30676901947152385,3600,3.7122130151838064
30,1.2545910797647788,1.2545910797647788,0.7308361070078878,0.7743321876065641,0.27806248455915167,3720,4.827869933098555
31,1.3119913955521068,1.3119913955521068,0.7682867906702933,0.7874074993381135,0.32083552450161873,3840,4.108917228877544
32,1.3119913955521068,1.3119913955521068,0.6240082702338053,0.6378129450687324,0.3137881927349507,3960,5.21569237858057
33,1.3594695728630406,1.3594695728630406,0.6913773740001361,0.6713574186036346,0.33784106858840407,4080,4.95476839505136
34,1.3594695728630406,1.3594695728630406,0.6463703314899579,0.642576245497636,0.3640244475575496,4200,4.8943101689219475
