generation,best_fitness,best_so_far_fitness,mean_fitness,median_fitness,std_fitness,evaluation_count,elapsed_seconds
0,1.5003080016356438,1.5003080016356438,-0.0006652087433505593,-0.002366977698961492,0.5413678501319599,40,6.275108749046922
1,1.5003080016356438,1.5003080016356438,0.004258735751723991,-0.006840550780691568,0.35486122279802046,80,1.1468991432338953
2,1.5003080016356438,1.5003080016356438,0.06424950734432343,0.018124238685264055,0.4337123511399503,120,1.1105364151299
3,1.5003080016356438,1.5003080016356438,0.19103942498705337,0.012275454698544824,0.46542835690969975,160,1.1060789916664362
4,1.6537254734794224,1.6537254734794224,0.07041993294882845,0.06755134775196511,0.6973675842529198,200,1.1165443155914545
5,1.6537254734794224,1.6537254734794224,-0.0846967448927374,-0.001118478221567576,0.6818781426027644,240,1.1048219949007034
6,1.6537254734794224,1.6537254734794224,-0.0574757866854408,0.019421808157301657,0.801164029541463,280,1.1052930299192667
7,1.777203336524073,1.777203336524073,-0.1080537319266989,0.02280271189885061,0.840740155892027,320,1.119568020105362
8,2.0570593179862406,2.0570593179862406,0.15016693469531464,0.004360951680123404,0.8645774524348369,360,1.1047802343964577
9,2.0570593179862406,2.0570593179862406,-0.014541421629187614,0.004245436861828655,1.2443704142173018,400,1.130049228668213
10,2.109960637169211,2.109960637169211,0.2715426820870353,0.07611952414948905,1.1666624905096883,440,1.1122775562107563
11,2.1689953833615334,2.1689953833615334,0.5386782654136116,0.5261921379328547,0.9777123465214056,480,1.1113619804382324
12,2.6524295818166914,2.6524295818166914,0.5027310347650574,0.6516256958611367,1.3966301364699405,520,1.1124938316643238
13,2.6524295818166914,2.6524295818166914,0.22939583711549436,0.11799819428810182,1.6252070576793702,560,1.124160997569561
14,2.6524295818166914,2.6524295818166914,0.8648305048522452,1.2757220468019903,1.4029397632277336,600,1.158192839473486
15,2.6524295818166914,2.6524295818166914,0.8537455926797805,1.1846548078471746,1.246293485919899,640,1.097125569358468
16,2.6662568962265345,2.6662568962265345,0.7014342530376143,0.8988694986819723,1.4602811051308222,680,1.1195614244788885
17,2.6662568962265345,2.6662568962265345,1.0286972240525454,1.1910100498442997,1.158194473018567,720,1.1317702624946833
18,2.6662568962265345,2.6662568962265345,1.0099851584651203,1.5638895837172466,1.2030719667658023,760,1.106149623170495
19,2.6662568962265345,2.6662568962265345,1.0826736355578253,1.7479125869862493,1.50759552556689,800,1.1124370470643044
20,2.80341319287883,2.80341319287883,1.1631656995753532,1.6244015543735273,1.2775071041178887,840,1.2153651397675276
21,2.80341319287883,2.80341319287883,0.8584670533947609,1.4239804718998434,1.4634877596899631,880,1.0987375304102898
22,2.80341319287883,2.80341319287883,1.0762598530897063,1.9627912334807303,1.7181992351862543,920,1.1189446933567524
23,2.80341319287883,2.80341319287883,1.583966781212096,2.0614196579815256,1.2824515569322203,960,1.1928198486566544
