run_id,phase,task,morphology,controller,training_seed,config_path,resolved_config_digest,output_dir,status,completed_generations,best_fitness,started_from_checkpoint
walker__biped__nchl__seed_006,final,Walker-v0,biped,nchl,6,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_006/config.yaml,fe312947a36da98a70b77eb9fd91f62a26e020d408da588a23b7f09829ae207f,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_006,complete,500,5.631383807087815,False
walker__biped__nchl__seed_007,final,Walker-v0,biped,nchl,7,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_007/config.yaml,187d9917a60541b0544ad0eeb63e2c1cb930aa9b282d4de77adc5b90ded411d1,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_007,complete,500,4.974404587803208,False
walker__biped__nchl__seed_008,final,Walker-v0,biped,nchl,8,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_008/config.yaml,aac83c4201c750fc99272cd1db3ed1909dde41ff44c4c142259acfc5f8e0aee0,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_008,complete,500,5.63317731488231,False
walker__biped__nchl__seed_009,final,Walker-v0,biped,nchl,9,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_009/config.yaml,a4ead1617d7d8d40bcbf3b43a09b7ab2032776df39b543c89d9f53bd20aedd2b,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_009,complete,500,4.348237957454807,False
carrier__biped__static__seed_000,final,Carrier-v0,biped,static,0,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_000/config.yaml,7481dfaf521a1080c442ee4538ecacd6db02caa97888d55b278d95afbd10ba4d,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_000,complete,500,2.3682785833712883,False
carrier__biped__static__seed_001,final,Carrier-v0,biped,static,1,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_001/config.yaml,7a24d056f998b3e3eb1c4e16b634d1c3cc1b5039b4262ce34cc21dafe29f2bf5,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_001,complete,500,2.4884293793386227,False
carrier__biped__static__seed_002,final,Carrier-v0,biped,static,2,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_002/config.yaml,36643fca2368b4b41d31f141557806455a8ac8e36ac34f5ede9bfa68408f3a3a,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_002,complete,500,2.3495740753949192,False
carrier__biped__static__seed_003,final,Carrier-v0,biped,static,3,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_003/config.yaml,d6b98b2a57ece69936d50e94ad53bd58a768503647d0f25a5373728a475110d6,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_003,complete,500,2.1030068151711476,False
carrier__biped__static__seed_004,final,Carrier-v0,biped,static,4,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_004/config.yaml,d948692e7f8a79421274dd9f6cc7e45facb803f46ae8d63be0c21cd679d2c447,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_004,complete,500,1.6010339847547508,False
carrier__biped__static__seed_005,final,Carrier-v0,biped,static,5,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_005/config.yaml,12119ee8789a72d4de39b07306bcf72120a1202a3951da7a7da699ab126564df,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_005,complete,500,1.8164150296966681,False
carrier__biped__static__seed_006,final,Carrier-v0,biped,static,6,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_006/config.yaml,17aa5b283be0549004b5c74b1922ff57d10e25652c263eeb3db88e9c4c402d1d,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_006,complete,500,2.131718265578995,False
carrier__biped__static__seed_007,final,Carrier-v0,biped,static,7,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_007/config.yaml,9df9c78c523c4c7311c5ceb12610711107d640e21680ded48beb9a736179b207,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_007,complete,500,2.8868604720673128,False
carrier__biped__static__seed_008,final,Carrier-v0,biped,static,8,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_008/config.yaml,0e57e49c802f65dcd589faf4763afdbb3a1af4c70d81ce497abc0cf1b619bc88,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_008,complete,500,2.8325223080271376,False
carrier__biped__static__seed_009,final,Carrier-v0,biped,static,9,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_009/config.yaml,275e79bc26c7759cff176a3e56034b3c8048a5980e26ece38dd43fea1cde46fc,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_009,complete,500,1.3634984236315244,False
