generation,best_fitness,best_so_far_fitness,mean_fitness,median_fitness,std_fitness,evaluation_count,elapsed_seconds
0,1.2039127698293604,1.2039127698293604,0.2022164747861906,0.3279091289514633,0.6400251854017022,120,16.653730439022183
1,1.2039127698293604,1.2039127698293604,0.18085203045505094,0.6163540201069457,0.7529372122385684,240,3.156732115894556
2,1.2039127698293604,1.2039127698293604,-0.06953010235309293,0.03896947392563822,0.7826312636315746,360,3.1956572495400906
3,1.2039127698293604,1.2039127698293604,0.13300539895495875,0.5137292213967521,0.7351366367544461,480,3.2019224409013987
4,1.2039127698293604,1.2039127698293604,0.3285161948300325,0.5236646927161117,0.593385800887844,600,3.2097582910209894
5,1.2039127698293604,1.2039127698293604,0.4893762084957185,0.7301295934988875,0.47697465450812304,720,3.2169229593127966
6,1.2039127698293604,1.2039127698293604,0.46884947269247357,0.6656840517296344,0.5847144925261035,840,3.224566411226988
7,1.2039127698293604,1.2039127698293604,0.49114353627950125,0.716480836615387,0.5128925397637601,960,3.204368893057108
8,1.2039127698293604,1.2039127698293604,0.7077692702726746,0.7696919557469069,0.2273481645981899,1080,3.226273201406002
9,1.2039127698293604,1.2039127698293604,0.43773969192024487,0.736873846766812,0.5484290886731407,1200,3.2108876295387745
10,1.2039127698293604,1.2039127698293604,0.5836355637921401,0.7728715449270835,0.4563777322278745,1320,3.2130176704376936
11,1.2039127698293604,1.2039127698293604,0.41778438739806684,0.7388097481809246,0.6376919208934979,1440,3.2143759056925774
12,1.2039127698293604,1.2039127698293604,0.5951131139765197,0.7286261566130137,0.334941834026236,1560,3.2164960019290447
13,1.2039127698293604,1.2039127698293604,0.5549550893929023,0.6957844642063793,0.4427051291320522,1680,3.214407881721854
14,1.2039127698293604,1.2039127698293604,0.309873192810871,0.4398253368033016,0.5451568683742612,1800,3.216289572417736
15,1.2039127698293604,1.2039127698293604,0.36590818015711213,0.5325769092999946,0.582394255836991,1920,3.2058881986886263
16,1.2039127698293604,1.2039127698293604,0.3370542963599127,0.5791712823288846,0.6335718901733832,2040,3.214358741417527
17,1.2039127698293604,1.2039127698293604,0.49424249082583493,0.6979308283257493,0.49980038985610475,2160,3.2207905929535627
18,1.2039127698293604,1.2039127698293604,0.6314803528943969,0.744757023765035,0.3001546788328419,2280,3.2197208534926176
19,1.2039127698293604,1.2039127698293604,0.43630066348429725,0.7018143437108417,0.6087166534003533,2400,3.223610907793045
20,1.2039127698293604,1.2039127698293604,0.5231299551347843,0.5963441673064636,0.38387077005445286,2520,3.205796865746379
21,1.2039127698293604,1.2039127698293604,0.5662284798946355,0.6607898115475872,0.3733937928997293,2640,3.2276833299547434
22,1.2039127698293604,1.2039127698293604,0.5960814999851001,0.7242789646574149,0.43410616748499187,2760,3.208846466615796
23,1.2039127698293604,1.2039127698293604,0.5504880996238823,0.6678485347442519,0.3925273800641859,2880,3.3284370116889477
24,1.403715016491553,1.403715016491553,0.4960217205813343,0.701498638407559,0.5969607815277669,3000,3.2064960952848196
25,1.403715016491553,1.403715016491553,0.38000575442804496,0.6422041714446354,0.6909524606037222,3120,3.205293456092477
26,1.4842575552509054,1.4842575552509054,0.674929102502555,0.7748323571966107,0.40154982022210517,3240,3.195896279066801
27,1.4842575552509054,1.4842575552509054,0.7198230649422578,0.7886564348614191,0.5337080681763225,3360,3.2049806118011475
28,1.5709729862568986,1.5709729862568986,0.7731525101011554,0.7457323369185387,0.395735787386223,3480,3.2036675829440355
29,1.7382665199916996,1.7382665199916996,0.9727093036232525,1.0437771704751406,0.5175432692378847,3600,3.187644060701132
30,1.930019724582573,1.930019724582573,0.9960342190930023,0.9408651555710674,0.4875016599674646,3720,3.2173799462616444
31,2.1011906457671867,2.1011906457671867,1.2639020874365752,1.476479014103147,0.6392198123860546,3840,3.198959657922387
32,2.14000240756953,2.14000240756953,1.2469633557981887,1.3286048715863283,0.5220520631516958,3960,3.260584369301796
33,2.303443049036517,2.303443049036517,1.2413793847538475,1.3740372526787419,0.6836248353705356,4080,3.2059678100049496
34,2.4331350152316884,2.4331350152316884,1.3465358279637347,1.3127009339521694,0.5442621952123308,4200,3.2173176053911448
35,2.4702912428759234,2.4702912428759234,1.4989335685358802,1.5313217596494917,0.501944389153562,4320,3.2148781903088093
36,2.4702912428759234,2.4702912428759234,1.4282620916713746,1.443517438576021,0.4850701597262456,4440,3.209474327042699
37,2.4702912428759234,2.4702912428759234,1.5567075613212586,1.6335756577266156,0.5409088452830189,4560,3.209374876692891
38,3.4195623632919663,3.4195623632919663,1.6230120979666243,1.6482895455832276,0.5919332086323533,4680,3.208619037643075
39,3.4195623632919663,3.4195623632919663,1.5397748542923968,1.5455987926342818,0.5644370701687997,4800,3.2204498536884785
40,3.4195623632919663,3.4195623632919663,1.62232817648703,1.5930967501809947,0.540992546788562,4920,3.191781831905246
41,3.4195623632919663,3.4195623632919663,1.7267822349084156,1.636541440869765,0.4272072916268371,5040,3.207045093178749
42,3.4195623632919663,3.4195623632919663,1.6186095808853291,1.5855177566665652,0.46603934137665337,5160,3.206010803580284
43,3.4195623632919663,3.4195623632919663,1.5908891237505185,1.6015258233592196,0.5391426089452429,5280,3.2145086005330086
44,3.4195623632919663,3.4195623632919663,1.737490452715664,1.8763805461110579,0.48641895866846274,5400,3.205218991264701
45,3.4195623632919663,3.4195623632919663,1.704009993671825,1.708556938301889,0.5384053908206791,5520,3.1870050244033337
46,3.4195623632919663,3.4195623632919663,1.7339306050249086,1.6794508952267477,0.535216139915633,5640,3.1967779118567705
47,3.4195623632919663,3.4195623632919663,1.6489381111505808,1.6269092329821029,0.5971986381326204,5760,3.191430611535907
