generation,best_fitness,best_so_far_fitness,mean_fitness,median_fitness,std_fitness,evaluation_count,elapsed_seconds
0,1.2870646763922415,1.2870646763922415,-0.2282564642690957,-0.634043985823596,0.7765927407744015,40,43.93377920426428
1,1.2870646763922415,1.2870646763922415,-0.03342642805107795,0.2586578978906152,0.8017679548932485,80,1.62651570700109
2,1.2870646763922415,1.2870646763922415,0.41916905850414315,0.7447304905548597,0.6161402970717366,120,1.7368146423250437
3,1.2870646763922415,1.2870646763922415,0.3482415174550345,0.47631125774363425,0.6821542763688483,160,2.295131480321288
4,1.520558876606261,1.520558876606261,0.46879728516421687,0.7522849265861853,0.6887637205338435,200,1.3708194848150015
5,1.520558876606261,1.520558876606261,0.27308567364707015,0.755946984919585,0.8197423563712318,240,1.607851780951023
6,1.520558876606261,1.520558876606261,0.4676050678125465,0.7764849423186679,0.8122675467864776,280,1.72607197239995
7,1.520558876606261,1.520558876606261,0.44034599041006056,0.7642316626916985,0.8151206755001766,320,1.7530825082212687
8,1.520558876606261,1.520558876606261,0.5329007299726214,0.76615951355993,0.605263226669078,360,1.7119461428374052
9,1.520558876606261,1.520558876606261,0.4579200380137761,0.7683860517845746,0.7024001384177277,400,1.3693586476147175
10,1.520558876606261,1.520558876606261,0.584356245564978,0.7824596288632469,0.5269473224662141,440,1.7061810120940208
11,1.520558876606261,1.520558876606261,0.4116081612816306,0.7689197414452913,0.728916331862933,480,1.6886353474110365
12,2.1994022817370196,2.1994022817370196,0.5984042883851981,0.7806083562772899,0.693654564970965,520,1.5749600697308779
13,2.1994022817370196,2.1994022817370196,0.5787711430586819,0.7689540513722528,0.6811053400163162,560,1.6243316885083914
14,2.1994022817370196,2.1994022817370196,0.7372122753354353,0.8005405980429492,0.6637754327679901,600,1.71025256998837
15,2.1994022817370196,2.1994022817370196,0.7458229462702102,0.8026344944679784,0.6352194365928807,640,1.5649803951382637
16,2.1994022817370196,2.1994022817370196,0.6320887773433587,0.795514146819671,0.8623768752540394,680,1.3188567366451025
17,2.1994022817370196,2.1994022817370196,0.677810294882496,0.7950993553031278,0.6737180064095707,720,1.2746179178357124
18,2.1994022817370196,2.1994022817370196,0.8485273651651516,0.8236569182477794,0.4457939182546727,760,1.80696851760149
19,2.1994022817370196,2.1994022817370196,0.4986308958073864,0.7757223599347909,0.7103113890927486,800,1.655934127047658
20,2.1994022817370196,2.1994022817370196,0.6486205860892311,0.798243423728197,0.6841470797086867,840,1.4165326729416847
21,2.1994022817370196,2.1994022817370196,0.8968755068704789,0.830450501330225,0.5024577819194632,880,1.742210729047656
22,2.1994022817370196,2.1994022817370196,0.6755132287629078,0.7960491356936787,0.8438412370588039,920,1.2614332139492035
23,2.1994022817370196,2.1994022817370196,0.6563966847361584,0.7862418831804645,0.6895107102977086,960,1.3027634602040052
24,2.1994022817370196,2.1994022817370196,0.8001196171942924,0.7756922647305149,0.4431710133000105,1000,1.6713397223502398
25,2.1994022817370196,2.1994022817370196,0.8226890103547861,0.8258942343465308,0.5577035113671154,1040,1.7505119759589434
26,2.1994022817370196,2.1994022817370196,0.7725261095534118,0.8029473993620964,0.6707141263236892,1080,1.6721624583005905
27,2.1994022817370196,2.1994022817370196,0.8502931654289576,0.8421560959863761,0.5943380925061631,1120,1.7429141327738762
28,2.1994022817370196,2.1994022817370196,0.862702247787199,0.8610536180609505,0.6442428995166286,1160,1.2561090402305126
29,2.1994022817370196,2.1994022817370196,0.7333415720883394,0.7921883906498569,0.6945846073111105,1200,1.6603650860488415
30,2.1994022817370196,2.1994022817370196,0.8437449412794162,0.8155386985290982,0.6436449240914432,1240,1.2846748530864716
31,2.1994022817370196,2.1994022817370196,0.8514031541891123,0.8140817476755415,0.45741638628944714,1280,1.2984005212783813
32,2.1994022817370196,2.1994022817370196,0.9577008913338709,0.799196216158907,0.3608157137960257,1320,1.2632115092128515
33,2.1994022817370196,2.1994022817370196,0.552914882179296,0.7748008644156972,0.7667703136529251,1360,1.2998355794698
34,2.1994022817370196,2.1994022817370196,0.6926071516039423,0.8424896666586061,0.7749791560940105,1400,1.7297491040080786
35,2.1994022817370196,2.1994022817370196,0.7848145959586255,0.806114535227257,0.5966604863549309,1440,1.3150421157479286
36,2.1994022817370196,2.1994022817370196,0.8275003604971101,0.824552922539592,0.5071877600014724,1480,1.7081684116274118
37,2.1994022817370196,2.1994022817370196,0.8960242778949491,0.8198095941934525,0.40769661704875265,1520,1.778790520504117
38,2.1994022817370196,2.1994022817370196,0.7895985008203132,0.8206234330916227,0.5454936058729302,1560,1.769712422043085
39,2.1994022817370196,2.1994022817370196,0.71139208113502,0.780662279720035,0.6987796927483536,1600,2.0784938763827085
