generation,best_fitness,best_so_far_fitness,mean_fitness,median_fitness,std_fitness,evaluation_count,elapsed_seconds
0,1.2135008998397039,1.2135008998397039,0.02979324249388433,0.03577974463171302,0.4829282536436934,40,7.7020188719034195
1,1.2135008998397039,1.2135008998397039,0.015141053079841066,-0.0030260240918228987,0.3546228218133069,80,1.938208520412445
2,1.4428140239558684,1.4428140239558684,0.17445599660034375,0.04397496484969801,0.5003478905062584,120,2.047333324328065
3,1.4572514607057299,1.4572514607057299,0.2122121440808759,0.07681359192328463,0.7141684544999245,160,2.1207088753581047
4,1.4572514607057299,1.4572514607057299,0.21964020175646373,0.07064505096948095,0.48481649613434735,200,2.069560267031193
5,1.7883370942820591,1.7883370942820591,0.31959439973203513,0.0849933085721602,0.6054860815666617,240,1.971024727448821
6,1.7883370942820591,1.7883370942820591,0.11614333496483589,0.023104103148668897,0.7854502570779565,280,1.862382147461176
7,1.7883370942820591,1.7883370942820591,0.286994727315679,0.09324616253897863,0.7418353897258821,320,2.052942242473364
8,1.7883370942820591,1.7883370942820591,0.5016671335542815,0.109819344004143,0.7090797233197474,360,2.0868167839944363
9,2.1415060240577626,2.1415060240577626,0.3077017149021219,0.1891227070078652,1.1830183837246107,400,2.079342421144247
10,2.1415060240577626,2.1415060240577626,0.334090217732958,0.3991756796391707,1.1024608694265337,440,2.0683103036135435
11,2.56074120067139,2.56074120067139,0.756498802281867,0.8579097236081762,0.8815861971811252,480,2.0708751752972603
12,2.56074120067139,2.56074120067139,0.7796005150855383,0.8762899258508806,0.769438054342174,520,2.070965848863125
13,2.56074120067139,2.56074120067139,0.7580037488227724,1.07484481830697,1.0599106244644334,560,2.059475217014551
14,2.56074120067139,2.56074120067139,0.5975261549684754,1.050927384027659,1.3751764767708292,600,2.0756203066557646
15,2.56074120067139,2.56074120067139,0.9451545138937746,1.3686191728348014,1.172723820076724,640,2.060940932482481
16,2.56074120067139,2.56074120067139,0.858583803896926,1.4117296973536086,1.2684961832610808,680,2.068270981311798
17,2.56074120067139,2.56074120067139,0.7746023673195133,0.9508966632895964,1.3047779546659815,720,2.060201806947589
18,2.56074120067139,2.56074120067139,1.1870690789577083,1.2701477121789682,0.7507899991534487,760,2.0637996084988117
19,2.56074120067139,2.56074120067139,1.1932962438625858,1.6456679642220287,1.1616747891247305,800,2.0650724098086357
20,2.56074120067139,2.56074120067139,1.3218449652296083,1.7372617134028883,1.0271084015537986,840,2.0737877395004034
21,2.56074120067139,2.56074120067139,1.2081737752585349,1.8005741506382023,1.2250848595828019,880,2.062771324068308
22,2.597200538009714,2.597200538009714,1.1391914790077682,1.4400614259434483,1.1023925618197454,920,2.056027440354228
23,2.8136485753142626,2.8136485753142626,1.1909412756777282,1.5670098338143932,1.1776338043966152,960,2.053800055757165
24,2.8136485753142626,2.8136485753142626,1.5935343235993829,1.6998915994821242,0.6971228141592211,1000,2.1188339609652758
25,2.8136485753142626,2.8136485753142626,0.9858324220691514,1.5213925994717767,1.5165377822766473,1040,2.056957047432661
26,2.917193505782957,2.917193505782957,0.9345298337914784,1.0180036971039752,1.3138351325303914,1080,2.0596760883927345
27,2.917193505782957,2.917193505782957,1.2132463975714884,1.6802988176941904,1.1288744221352947,1120,2.0656788405030966
28,2.917193505782957,2.917193505782957,1.2826612114654639,1.8569037984791832,1.3057238781958527,1160,2.082688158378005
29,2.917193505782957,2.917193505782957,1.387135823281422,1.956919965801687,1.196438610476711,1200,2.04912075586617
30,2.917193505782957,2.917193505782957,1.0308611953646474,1.792614104212459,1.564069004252876,1240,1.9841304924339056
31,2.917193505782957,2.917193505782957,0.7971290114378586,0.8813935025253259,1.3628108949434514,1280,2.055410446599126
32,2.917193505782957,2.917193505782957,1.2698557913842379,1.811936947530827,1.416379297710511,1320,2.0668105836957693
33,3.1240796075570607,3.1240796075570607,0.9687737154718092,1.288083635704862,1.4840978584367002,1360,2.0683060735464096
34,3.1240796075570607,3.1240796075570607,0.6986773423653614,1.2572025527804334,1.914224031655387,1400,2.062262052670121
35,3.1240796075570607,3.1240796075570607,0.5820556026468804,1.5622965324131082,2.1485094736711234,1440,2.0580686926841736
36,3.126667085070169,3.126667085070169,1.3442939644806187,2.185372546458716,1.644921774436339,1480,2.0606665667146444
37,3.126667085070169,3.126667085070169,1.4380758253390296,1.900063388614694,1.4786414546613236,1520,2.0607756450772285
38,3.126667085070169,3.126667085070169,1.214438907573501,2.0345020664453073,1.7530708100222836,1560,2.061635624617338
39,3.2235430485466665,3.2235430485466665,1.072882048176028,1.5243476496483623,1.6393986766621929,1600,2.083751607686281
40,3.2235430485466665,3.2235430485466665,1.3389692255446195,2.057917253141931,1.5519897656187427,1640,2.0594753976911306
41,3.2235430485466665,3.2235430485466665,1.1506040494305325,1.6293507923514121,1.4278903536168763,1680,2.0764319971203804
42,3.2235430485466665,3.2235430485466665,0.8978767071152142,1.4672187834645531,1.7952022548961701,1720,2.060142630711198
43,3.2235430485466665,3.2235430485466665,1.19737946134507,1.3011332563576443,1.266587398024575,1760,2.061913438141346
44,3.2235430485466665,3.2235430485466665,1.404468709078382,2.1749075374467157,1.6282301636917629,1800,2.064833140000701
45,3.3411742650178917,3.3411742650178917,1.572860305020618,2.3696122854760984,1.6887640264852362,1840,2.0693628564476967
46,3.347009228134737,3.347009228134737,1.7382558572469555,2.3090271659425965,1.3995141072472073,1880,2.0637779626995325
47,3.4151032006570183,3.4151032006570183,1.746719949835785,2.0544624538589655,1.3671717681399151,1920,2.058414850383997
