generation,best_fitness,best_so_far_fitness,mean_fitness,median_fitness,std_fitness,evaluation_count,elapsed_seconds
0,0.8200013063166192,0.8200013063166192,0.3494893447907888,0.3936303759840708,0.27983459470626676,40,15.106003507971764
1,0.8200013063166192,0.8200013063166192,0.25716051320480005,0.36217135584917604,0.35315450835418516,80,1.2406257688999176
2,0.8200013063166192,0.8200013063166192,0.30695064896465835,0.3945596598118196,0.35123852162513464,120,1.1565908137708902
3,0.8200013063166192,0.8200013063166192,0.33896801336098203,0.3897820576030191,0.31021288745135756,160,1.2257428281009197
4,0.8580654504351242,0.8580654504351242,0.32500162076965705,0.3788575043389382,0.26844336919510997,200,1.473150609061122
5,0.8580654504351242,0.8580654504351242,0.3648057857215937,0.3908541868246578,0.26672156874700825,240,1.5712768696248531
6,0.8580654504351242,0.8580654504351242,0.4130021957283431,0.38676008808613027,0.16273050950926868,280,1.5385610293596983
7,0.8580654504351242,0.8580654504351242,0.4015710893985475,0.3960706655350711,0.22388103584264693,320,1.5554652493447065
8,0.8580654504351242,0.8580654504351242,0.39066746270043157,0.3964468783189611,0.23563839915224313,360,1.5727025531232357
9,0.8580654504351242,0.8580654504351242,0.393775488087858,0.3998109974697128,0.29792756136982984,400,1.5068494286388159
10,0.8725834233041413,0.8725834233041413,0.4843250612613055,0.41636185305567147,0.2562927003367873,440,1.4791553597897291
11,0.8813020560762541,0.8813020560762541,0.4216288909235081,0.3988430269081759,0.3766424937282618,480,1.4251196570694447
12,0.8813020560762541,0.8813020560762541,0.5385323264342954,0.6676701929432878,0.29503497552344765,520,1.4382655043154955
13,1.20700025143682,1.20700025143682,0.47926456425266617,0.3995373080770298,0.34848212070172824,560,1.5075534973293543
14,1.20700025143682,1.20700025143682,0.4456612244492721,0.6497732784144654,0.4912477522846212,600,1.430526988580823
15,1.20700025143682,1.20700025143682,0.5101352538662303,0.47064719818627004,0.3559002490992036,640,1.552970914170146
16,1.20700025143682,1.20700025143682,0.5177206283999882,0.7188713633535868,0.41250975430913506,680,1.5387861412018538
17,1.20700025143682,1.20700025143682,0.5882479486524661,0.7519367897102536,0.32463415824503616,720,1.3600658383220434
18,1.20700025143682,1.20700025143682,0.5998676764739714,0.729761803578044,0.32747334586657356,760,1.531856855377555
19,1.2253759294320306,1.2253759294320306,0.6048030436306012,0.6319767125462696,0.32105417626370303,800,1.3283508103340864
20,1.2976910769148946,1.2976910769148946,0.6403806060513768,0.7845106230506022,0.32375526846604846,840,1.4253126811236143
21,1.2976910769148946,1.2976910769148946,0.6194027779010529,0.7188218150282415,0.30528338426277984,880,1.4336161464452744
22,1.2976910769148946,1.2976910769148946,0.5630984710078113,0.7130096403530506,0.4283514477196499,920,1.4976762551814318
23,1.2976910769148946,1.2976910769148946,0.6076947581396599,0.7423208941552214,0.4097241346524058,960,1.2837040685117245
24,1.6387398431109943,1.6387398431109943,0.6837659786597785,0.7902810122823383,0.3857587073288193,1000,1.5805632844567299
25,1.6387398431109943,1.6387398431109943,0.610823431917941,0.7757551521541446,0.35467943229763826,1040,1.4174332022666931
26,1.6387398431109943,1.6387398431109943,0.607163296234724,0.7532160231342554,0.4016082123503093,1080,1.2893232852220535
27,1.6387398431109943,1.6387398431109943,0.7982221671839157,0.792050118471489,0.27944546934025655,1120,1.2082436103373766
28,1.6387398431109943,1.6387398431109943,0.6998448353488527,0.7860902409238135,0.3645869324862889,1160,1.5312872175127268
29,1.6387398431109943,1.6387398431109943,0.6267341407739699,0.7586528793324313,0.38849852189133244,1200,1.446246100589633
30,1.6387398431109943,1.6387398431109943,0.6465320150085818,0.7736154522530869,0.42705135390156357,1240,1.3346650525927544
