run_id,task,morphology,training_seed,snapshot,snapshot_fraction,n_analysis_traces,mean_frozen_fitness,median_frozen_fitness,sd_frozen_fitness,min_frozen_fitness,max_frozen_fitness
jumper__biped__nchl__seed_001,Jumper-v0,biped,1,W0,0.0,3,-0.17788079004832166,-0.1815696817900686,0.018494549256719804,-0.1942528863986681,-0.15781980195622825
jumper__biped__nchl__seed_001,Jumper-v0,biped,1,W25,0.25,3,-2.3693163055867985,-2.5638195188605555,0.5968225399566378,-2.844623446346142,-1.6995059515536992
jumper__biped__nchl__seed_001,Jumper-v0,biped,1,W50,0.5,3,-2.52020028044534,-2.3614795787440093,0.5232346017207044,-3.104417296673815,-2.094703965918195
jumper__biped__nchl__seed_001,Jumper-v0,biped,1,W75,0.75,3,-2.982740648000094,-3.1457234067321305,0.4621514952792385,-3.341319115199263,-2.461179422068889
jumper__biped__nchl__seed_001,Jumper-v0,biped,1,Wfinal,1.0,3,-2.6831803946887725,-2.850987391328345,0.3758166980624508,-2.945858487703073,-2.252695305034899
jumper__biped__nchl__seed_002,Jumper-v0,biped,2,W0,0.0,3,-0.17207994741151533,-0.1713227088438357,0.018282338388529152,-0.1907291397368993,-0.15418799365381097
jumper__biped__nchl__seed_002,Jumper-v0,biped,2,W25,0.25,3,-0.9497539263290871,-0.468512475142287,1.2517852656267834,-2.370743810484771,-0.010005493360203399
jumper__biped__nchl__seed_002,Jumper-v0,biped,2,W50,0.5,3,-1.9493635441607609,-1.6175038564668047,1.370576158900415,-3.455398185442988,-0.7751885905724909
jumper__biped__nchl__seed_002,Jumper-v0,biped,2,W75,0.75,3,-2.6011290187144205,-2.696112589219444,0.44821384034644685,-2.9942382294647523,-2.1130362374590645
jumper__biped__nchl__seed_002,Jumper-v0,biped,2,Wfinal,1.0,3,-2.9046334678798047,-2.1628092440916413,1.7201411101636643,-4.8712141088318175,-1.6798770507159566
jumper__biped__nchl__seed_003,Jumper-v0,biped,3,W0,0.0,3,-0.1620642174790702,-0.16443998132155968,0.01093507358330261,-0.17161610482423817,-0.1501365662914128
jumper__biped__nchl__seed_003,Jumper-v0,biped,3,W25,0.25,3,-3.3972082372675847,-4.187114637378361,1.601483869273208,-4.4502835220288155,-1.5542265523955785
jumper__biped__nchl__seed_003,Jumper-v0,biped,3,W50,0.5,3,-1.4460009488507246,-1.407788581899475,0.1111936267108775,-1.5712621316438813,-1.3589521330088168
jumper__biped__nchl__seed_003,Jumper-v0,biped,3,W75,0.75,3,-1.5121357938266293,-1.4998825146215737,0.029309994198290886,-1.5455840113749137,-1.4909408554834003
jumper__biped__nchl__seed_003,Jumper-v0,biped,3,Wfinal,1.0,3,-1.5349225408410752,-1.5296085714637797,0.10535090643973666,-1.6428298689247307,-1.4323291821347155
jumper__biped__nchl__seed_004,Jumper-v0,biped,4,W0,0.0,3,-0.18339695232692152,-0.19218513525321834,0.025812096746616366,-0.20366741476399886,-0.15433830696354733
jumper__biped__nchl__seed_004,Jumper-v0,biped,4,W25,0.25,3,0.07995367707961165,0.10275373833080248,0.042048779955174934,0.03142929055488741,0.10567800235314506
jumper__biped__nchl__seed_004,Jumper-v0,biped,4,W50,0.5,3,0.07503156490344887,0.09480197736480234,0.03781524281470514,0.03142929055488741,0.09886342679065685
jumper__biped__nchl__seed_004,Jumper-v0,biped,4,W75,0.75,3,-0.2869040216548491,-0.27891840228795484,0.19506920582592194,-0.48584340728681397,-0.09595025538977842
jumper__biped__nchl__seed_004,Jumper-v0,biped,4,Wfinal,1.0,3,-0.3537026425322951,-0.48124298112174557,0.22322411231043518,-0.48391469108536145,-0.09595025538977842
jumper__biped__nchl__seed_005,Jumper-v0,biped,5,W0,0.0,3,-0.16306598841595132,-0.15670928280281438,0.012126498570832287,-0.17704925621058576,-0.15543942623445384
jumper__biped__nchl__seed_005,Jumper-v0,biped,5,W25,0.25,3,-3.1441912168722332,-3.1857028321443535,2.5062200389075215,-5.6293975942600705,-0.6174732242122771
jumper__biped__nchl__seed_005,Jumper-v0,biped,5,W50,0.5,3,-4.7467431804986004,-4.360433592414274,0.76569619453676,-5.628639100758491,-4.251156848323035
jumper__biped__nchl__seed_005,Jumper-v0,biped,5,W75,0.75,3,-3.9886822348256654,-3.917908156246641,0.15847900666451956,-4.170216008270753,-3.8779225399596022
jumper__biped__nchl__seed_005,Jumper-v0,biped,5,Wfinal,1.0,3,-0.2630812594186834,0.012235475947755536,0.48427872974955055,-0.8222564233368962,0.020777169133090467
jumper__biped__nchl__seed_006,Jumper-v0,biped,6,W0,0.0,3,-0.16123965912519486,-0.16154798502356293,0.009326234773744306,-0.1704079076886128,-0.15176308466340882
jumper__biped__nchl__seed_006,Jumper-v0,biped,6,W25,0.25,3,-0.8053531841993345,0.019358112736466704,1.43254147267634,-2.459507338249984,0.024089672915513782
jumper__biped__nchl__seed_006,Jumper-v0,biped,6,W50,0.5,3,-2.2833932523412726,-2.222283842773586,0.19915504262704842,-2.5059426472873647,-2.1219532669628665
jumper__biped__nchl__seed_006,Jumper-v0,biped,6,W75,0.75,3,-1.5921316235510157,-1.6195938106008239,0.3354637226130509,-1.91302013555041,-1.2437809245018134
jumper__biped__nchl__seed_006,Jumper-v0,biped,6,Wfinal,1.0,3,-1.5835013961872946,-1.5804234918911364,0.007854192947882583,-1.5924283944722313,-1.577652302198516
jumper__biped__nchl__seed_007,Jumper-v0,biped,7,W0,0.0,3,-0.16850244063879527,-0.17100995290673437,0.02029451165144579,-0.18742667969365134,-0.1470706893160001
jumper__biped__nchl__seed_007,Jumper-v0,biped,7,W25,0.25,3,0.10583649486003488,0.10512717878477185,0.004726600555870949,0.10150463971153434,0.11087766608379845
jumper__biped__nchl__seed_007,Jumper-v0,biped,7,W50,0.5,3,-3.7253645718557884,-3.7972421484886394,0.12739543909611092,-3.800577969237766,-3.578273597840959
jumper__biped__nchl__seed_007,Jumper-v0,biped,7,W75,0.75,3,-3.8072333425069567,-3.739859655461532,0.12409948629155883,-3.950447681291168,-3.73139269076817
jumper__biped__nchl__seed_007,Jumper-v0,biped,7,Wfinal,1.0,3,-2.5925227035699785,-3.923938363650961,2.326763740176609,-3.94778710433054,0.09415735727156593
jumper__biped__nchl__seed_008,Jumper-v0,biped,8,W0,0.0,3,-0.172808085726609,-0.16948625614565893,0.0182189553045794,-0.1924593984717321,-0.15647860256243595
jumper__biped__nchl__seed_008,Jumper-v0,biped,8,W25,0.25,3,-0.734827586951643,-1.14378836740813,0.765870861438105,-1.209406462499415,0.14871206905261558
jumper__biped__nchl__seed_008,Jumper-v0,biped,8,W50,0.5,3,-0.7997894083015753,-1.1959873331491178,0.7339670294837944,-1.2505186231552257,0.04713773139961741
jumper__biped__nchl__seed_008,Jumper-v0,biped,8,W75,0.75,3,-0.8141166485468846,-1.1877604016784553,0.7118548816070369,-1.2613532328323713,0.006763688870172757
jumper__biped__nchl__seed_008,Jumper-v0,biped,8,Wfinal,1.0,3,-1.0073858963337654,-1.1275791426154835,0.26813992444577484,-1.1944010024632556,-0.7001775439225566
jumper__biped__nchl__seed_009,Jumper-v0,biped,9,W0,0.0,3,-0.15745772707433936,-0.15508267410770937,0.007946051464463987,-0.16632047840323294,-0.15097002871207577
jumper__biped__nchl__seed_009,Jumper-v0,biped,9,W25,0.25,3,-10.148412049968163,-10.396066452888327,1.0606237115893014,-11.063297094571041,-8.985872602445122
jumper__biped__nchl__seed_009,Jumper-v0,biped,9,W50,0.5,3,-11.710623162117537,-11.77944958200872,0.3539686776958187,-12.025124007110193,-11.327295897233704
jumper__biped__nchl__seed_009,Jumper-v0,biped,9,W75,0.75,3,-9.44154918090349,-9.507671976744582,0.6869917439490559,-10.0930887530062,-8.723886812959687
jumper__biped__nchl__seed_009,Jumper-v0,biped,9,Wfinal,1.0,3,-7.494017445369653,-9.890421503831702,6.2111221284756315,-12.14995700874464,-0.4416738235326184
thrower__biped__nchl__seed_000,Thrower-v0,biped,0,W0,0.0,3,0.31905957832444654,0.2978549445380381,0.05028159549937145,0.2828536536842344,0.37647013675106705
thrower__biped__nchl__seed_000,Thrower-v0,biped,0,W25,0.25,3,0.28813908128527754,0.3555887273183816,0.12963441073901733,0.13868617444652193,0.3701423420909291
thrower__biped__nchl__seed_000,Thrower-v0,biped,0,W50,0.5,3,0.4138156030293538,0.42292492502254925,0.02131405037210834,0.3894605901954026,0.42906129387010944
thrower__biped__nchl__seed_000,Thrower-v0,biped,0,W75,0.75,3,0.5590816182452732,0.44105654675593886,0.26497566280494306,0.3736260297817485,0.8625622781981326
thrower__biped__nchl__seed_000,Thrower-v0,biped,0,Wfinal,1.0,3,0.3852178484127277,0.37257227709977603,0.044682195093930566,0.3482212884712047,0.4348599796672024
thrower__biped__nchl__seed_001,Thrower-v0,biped,1,W0,0.0,3,0.2789537161647572,0.27064949858646403,0.031318673812432744,0.2526240384711723,0.3135876114366354
thrower__biped__nchl__seed_001,Thrower-v0,biped,1,W25,0.25,3,0.4070294432596939,0.3949937364605725,0.04692973720647285,0.3672897119802882,0.45880488133822117
thrower__biped__nchl__seed_001,Thrower-v0,biped,1,W50,0.5,3,0.4442311161971215,0.43297356688581806,0.022572322958673546,0.4295015890724591,0.4702181926330873
thrower__biped__nchl__seed_001,Thrower-v0,biped,1,W75,0.75,3,0.44587215091636717,0.45511677455014865,0.036367127208772186,0.4057749093346225,0.47672476886433024
