run_id,source_run,config_digest,genome_sha256,training_seed,task,morphology,analysis_index,source_environment_seed,source_controller_seed,snapshot,snapshot_fraction,snapshot_state,frozen_fitness,episode_length,terminated,truncated,source_plastic_fitness,trace_path
walker__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_000,2c6e6b026ee677a78e9d744112611304c259ad9e06288c90c1e89bc39bd8badd,0eb5701f411aa47ac1e44eebe094581522cd785c4ed2e62bfc88f104abf0de6d,0,Walker-v0,biped,2,7210830791768759910,3424438756091539107,W25,0.25,125,3.6176181836402694,500,False,True,4.688373147871866,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train000_analysis02.npz
walker__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_000,2c6e6b026ee677a78e9d744112611304c259ad9e06288c90c1e89bc39bd8badd,0eb5701f411aa47ac1e44eebe094581522cd785c4ed2e62bfc88f104abf0de6d,0,Walker-v0,biped,2,7210830791768759910,3424438756091539107,W50,0.5,250,3.914489174101994,500,False,True,4.688373147871866,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train000_analysis02.npz
walker__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_000,2c6e6b026ee677a78e9d744112611304c259ad9e06288c90c1e89bc39bd8badd,0eb5701f411aa47ac1e44eebe094581522cd785c4ed2e62bfc88f104abf0de6d,0,Walker-v0,biped,2,7210830791768759910,3424438756091539107,W75,0.75,375,1.7172292706139543,500,False,True,4.688373147871866,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train000_analysis02.npz
walker__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_000,2c6e6b026ee677a78e9d744112611304c259ad9e06288c90c1e89bc39bd8badd,0eb5701f411aa47ac1e44eebe094581522cd785c4ed2e62bfc88f104abf0de6d,0,Walker-v0,biped,2,7210830791768759910,3424438756091539107,Wfinal,1.0,500,4.5943784638105996,500,False,True,4.688373147871866,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train000_analysis02.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,0,5232325836976384581,7172422899355977572,W0,0.0,0,0.013272942066584137,500,False,True,4.471159828681823,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis00.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,0,5232325836976384581,7172422899355977572,W25,0.25,125,4.367693671575564,500,False,True,4.471159828681823,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis00.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,0,5232325836976384581,7172422899355977572,W50,0.5,250,-1.3453857060781806,500,False,True,4.471159828681823,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis00.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,0,5232325836976384581,7172422899355977572,W75,0.75,375,-1.4765998763164394,500,False,True,4.471159828681823,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis00.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,0,5232325836976384581,7172422899355977572,Wfinal,1.0,500,-1.5640498570960426,500,False,True,4.471159828681823,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis00.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,1,3184075494390970209,9147161066225580108,W0,0.0,0,-0.016690714574423005,500,False,True,4.654410397068357,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis01.npz
