run_id,source_run,config_digest,task,morphology,controller,training_seed,n_heldout_episodes,mean_fitness,median_fitness,std_fitness,min_fitness,max_fitness
carrier__biped__static__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_008,0e57e49c802f65dcd589faf4763afdbb3a1af4c70d81ce497abc0cf1b619bc88,Carrier-v0,biped,static,8,10,2.8325223080271376,2.8325223080271376,0.0,2.8325223080271376,2.8325223080271376
carrier__biped__static__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/static/seed_009,275e79bc26c7759cff176a3e56034b3c8048a5980e26ece38dd43fea1cde46fc,Carrier-v0,biped,static,9,10,1.3634984236315244,1.3634984236315244,0.0,1.3634984236315244,1.3634984236315244
jumper__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_000,872315b412cee97f007c35ed1fff6f53dfb4a69da57fc5eabde7fd62939bbe6b,Jumper-v0,biped,nchl,0,10,0.20023978156686115,0.1987666613328734,0.004313379158892266,0.1929824129688329,0.20704211318818333
jumper__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_001,2d7488e64d9132742d6e7e9a1270351f534764b5c243f88632db05f034f7af03,Jumper-v0,biped,nchl,1,10,0.0672382157809277,-0.13076826913213851,0.3991852297989296,-0.13634366828028766,0.9228811947168453
jumper__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_002,8dfeba175fb7eb5c4af1378c5bb8b090486ea3a9266700a74aa62655d39623f8,Jumper-v0,biped,nchl,2,10,0.16409521494233567,0.18300214305589785,0.10660187590724536,-0.04767011886034622,0.39556279936723227
jumper__biped__nchl__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_003,b7330d259859e51fa161413a9d13b9589759e4bfac05cedcac337b8322db95ce,Jumper-v0,biped,nchl,3,10,-0.28703299387110476,-0.03359481554768756,0.6433507144613244,-1.627242845924568,0.3097098093883349
jumper__biped__nchl__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_004,3d170b303eb034a44dff579fb2b38138922d597102744ab15a96df0b98f3621e,Jumper-v0,biped,nchl,4,10,0.17253017040532073,0.19032618369787868,0.12412963310782477,-0.003132228909313306,0.4797086290791641
jumper__biped__nchl__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_005,4d326e23ecf3d532353d23b80bf92ab5c762bcdbed32c4a7962b4dda18522331,Jumper-v0,biped,nchl,5,10,0.22993258962494392,0.019374892910451746,0.30380696038665167,-0.0709112066288703,0.714005415745162
jumper__biped__nchl__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_006,e581d803244e54df0bab78f078df05708a68027df13e734952b5fc1de4915b7f,Jumper-v0,biped,nchl,6,10,-0.05595170909097526,0.007585686223617882,0.37911185884409204,-0.7704442292974101,0.3942858658434667
jumper__biped__nchl__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_007,9d38fb066983b9e715bc2130dbce759c2b50aa4d458452aeaae5656f36c5bbf5,Jumper-v0,biped,nchl,7,10,0.09335180870258702,0.10473320532661617,0.06701732235429193,-0.059096097570350836,0.21925246621463668
