source_run,task,morphology,controller,training_seed,final_best_fitness,normalized_auc,generation_to_90_percent,wall_seconds
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_004,Carrier-v0,biped,nchl,4,1.9048693115879367,1.7739532069684594,112,2251.811723470688
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_005,Carrier-v0,biped,nchl,5,1.3699061665591517,1.1751634604061456,145,4210.822342431173
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_006,Carrier-v0,biped,nchl,6,1.704040783770446,1.4810192782439757,218,3929.511251050979
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_007,Carrier-v0,biped,nchl,7,1.2795552293219137,1.1171825952135275,120,3030.568202909082
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_008,Carrier-v0,biped,nchl,8,2.0062916200404204,1.7680549529891112,148,3063.2261018585414
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_009,Carrier-v0,biped,nchl,9,1.5845173913200397,1.392615295571836,186,3388.7639927770942
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_000,Jumper-v0,biped,static,0,0.2556993067467833,0.24258695209166994,84,565.8913371097296
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_001,Jumper-v0,biped,static,1,0.2520646462500753,0.23738116105354287,35,556.1018563117832
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_002,Jumper-v0,biped,static,2,0.25700832328505896,0.23881579736043726,93,549.3913857359439
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_003,Jumper-v0,biped,static,3,0.23724927933973905,0.23169103061480767,32,549.5661577004939
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_004,Jumper-v0,biped,static,4,0.24465312966855224,0.23414815191464322,75,552.7481326404959
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_005,Jumper-v0,biped,static,5,0.25472526669536755,0.24161274938724384,74,869.168593512848
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_006,Jumper-v0,biped,static,6,0.2594361993438027,0.24806104395675813,40,878.4036279581487
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_007,Jumper-v0,biped,static,7,0.2264515062825756,0.21866502016927922,61,802.6525004487485
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_008,Jumper-v0,biped,static,8,0.3278770272319792,0.2527740169459506,388,767.4043990522623
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_009,Jumper-v0,biped,static,9,0.2591625094633476,0.2426595083304724,85,792.4447350557894
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_000,Jumper-v0,biped,nchl,0,0.21540325216178102,0.20948544656321524,15,1831.5062088314444
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_001,Jumper-v0,biped,nchl,1,0.32764962753528304,0.2945364211712217,153,1845.1355302482843
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_002,Jumper-v0,biped,nchl,2,0.3112858443326838,0.2690045206551036,190,1829.7080489769578
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_003,Jumper-v0,biped,nchl,3,0.4676965043196111,0.35532426991115784,453,1624.3939955290407
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_004,Jumper-v0,biped,nchl,4,0.2927271394202045,0.23684489393226016,311,1634.499827729538
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_005,Jumper-v0,biped,nchl,5,0.6479972000565263,0.3595517983458837,433,2582.471979567781
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_006,Jumper-v0,biped,nchl,6,0.3331894268879286,0.22700941855290688,387,3458.6700914390385
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_007,Jumper-v0,biped,nchl,7,0.1415009861705583,0.1375104521827689,29,2473.091838089749
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_008,Jumper-v0,biped,nchl,8,0.43881419720960624,0.3047439632298284,310,2601.9509885311127
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_009,Jumper-v0,biped,nchl,9,0.8161910423213853,0.46820605133743237,447,2587.5208758916706
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_000,Thrower-v0,biped,static,0,1.7940387330517054,1.7417299149990366,50,437.5535659864545
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_001,Thrower-v0,biped,static,1,1.8012129784679973,1.6004055426703945,196,421.62564907222986
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_002,Thrower-v0,biped,static,2,1.7588777336965853,1.5143676264299102,202,426.4449908770621
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_003,Thrower-v0,biped,static,3,2.247642497093222,1.9656902484569698,132,425.93048708327115
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_004,Thrower-v0,biped,static,4,1.8007990089413,1.7321433078564035,78,425.1132361739874
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_005,Thrower-v0,biped,static,5,1.8039074554381789,1.6640691208199079,128,822.6242359466851
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_006,Thrower-v0,biped,static,6,1.8097788056556754,1.7479356859304165,95,721.1656156554818
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_007,Thrower-v0,biped,static,7,1.814574529492574,1.7648159245060937,36,731.436842340976
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_008,Thrower-v0,biped,static,8,1.7935032648554543,1.7333674166552173,48,723.6437329538167
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_009,Thrower-v0,biped,static,9,1.7997633898074579,1.7464782022337524,60,719.1737187225372
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_000,Thrower-v0,biped,nchl,0,1.6772154049605967,1.63928585165238,38,1352.950062058866
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_001,Thrower-v0,biped,nchl,1,1.7492571631149005,1.69143917353904,91,1354.682125626132
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_002,Thrower-v0,biped,nchl,2,1.6588876236378958,1.5182629678841415,150,1419.7220287919044
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_003,Thrower-v0,biped,nchl,3,1.5609558495602112,1.417353543271535,419,1402.8721257876605
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_004,Thrower-v0,biped,nchl,4,1.7170559338905769,1.6134160904037969,140,1406.693717110902
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_005,Thrower-v0,biped,nchl,5,1.7008564530900703,1.5989400052075005,208,2205.265850611031
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_006,Thrower-v0,biped,nchl,6,1.659208626460418,1.5766035709936463,125,2053.4198189228773
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_007,Thrower-v0,biped,nchl,7,1.7069641652662852,1.50368546459628,498,1938.7803038377315
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_008,Thrower-v0,biped,nchl,8,1.4759467860521458,1.4299808787129396,93,1926.6232189126313
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_009,Thrower-v0,biped,nchl,9,1.5281516696376116,1.450465437534622,168,2018.2579459678382
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_000,Thrower-v0,thrower_arm,static,0,6.184064967247208,3.3622525632439793,482,496.1347135398537
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_001,Thrower-v0,thrower_arm,static,1,3.4193802560567907,2.794246521322941,192,483.7746957857162
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_002,Thrower-v0,thrower_arm,static,2,3.3386428468756417,3.0736402550379385,90,484.60776631720364
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_003,Thrower-v0,thrower_arm,static,3,4.444024351573179,3.655850757928864,353,484.7589027658105
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_004,Thrower-v0,thrower_arm,static,4,6.1468586398868235,5.668588069424543,87,480.64826290123165
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_005,Thrower-v0,thrower_arm,static,5,3.3889496686920446,3.1620916671280503,76,876.9785290844738
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_006,Thrower-v0,thrower_arm,static,6,3.4009116092928484,3.0465580872132287,96,774.927224194631
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_007,Thrower-v0,thrower_arm,static,7,4.404721461115495,3.9967204304066626,117,754.0656705815345
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_008,Thrower-v0,thrower_arm,static,8,3.3236783478214944,2.543568744749828,476,846.1748651638627
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/static/seed_009,Thrower-v0,thrower_arm,static,9,6.1920792149685155,4.897169411373912,173,794.7433931808919
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_000,Thrower-v0,thrower_arm,nchl,0,3.8417600668626215,3.397514811724442,227,1572.0158133655787
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_001,Thrower-v0,thrower_arm,nchl,1,4.327021616046726,3.962338479384023,96,1560.6918040141463
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_002,Thrower-v0,thrower_arm,nchl,2,1.9886435342492532,1.934068278196476,53,1603.8131263665855
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_003,Thrower-v0,thrower_arm,nchl,3,4.10224794686991,3.747621242490689,182,1616.1425707004964
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_004,Thrower-v0,thrower_arm,nchl,4,3.4195623632919663,3.2741960520456534,38,1617.162758488208
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_005,Thrower-v0,thrower_arm,nchl,5,3.377871196444449,3.1314713762394892,83,2303.932077433914
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_006,Thrower-v0,thrower_arm,nchl,6,2.5910293528989405,2.1714804839179345,254,2457.321061214432
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_007,Thrower-v0,thrower_arm,nchl,7,3.325000521022639,2.4564418601515525,285,2361.776455214247
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_008,Thrower-v0,thrower_arm,nchl,8,3.8196147219013787,3.626767034118408,97,2087.4635938368738
/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_009,Thrower-v0,thrower_arm,nchl,9,4.085418946500428,3.544397808170912,168,2621.4933762587607
