run_id,source_run,config_digest,genome_sha256,training_seed,analysis_index,environment_seed,controller_seed,task,morphology,controller,hidden_sizes,episode_length,trace_path
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,943a25d447aec4d34e097ce3d71a06978c75a90634ec0dcb52184c8539418dcd,3,1,2344851983452959862,6171704884853545157,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train003_analysis01.npz
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,943a25d447aec4d34e097ce3d71a06978c75a90634ec0dcb52184c8539418dcd,3,2,3189270387817152734,2268335290108042879,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train003_analysis02.npz
walker__biped__static__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_004,0c1e1cf2dc9662886eba3576333f4188a276f848962c76184807fc458d5fb9b0,1eabe010fcfcfe1a2b36d1ebbfa686a86bd05498b2034a87565ba0892bbdebaa,4,0,4675618027918977294,6264005447694142635,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train004_analysis00.npz
walker__biped__static__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_004,0c1e1cf2dc9662886eba3576333f4188a276f848962c76184807fc458d5fb9b0,1eabe010fcfcfe1a2b36d1ebbfa686a86bd05498b2034a87565ba0892bbdebaa,4,1,1776748932738538903,3330744174114140836,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train004_analysis01.npz
walker__biped__static__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_004,0c1e1cf2dc9662886eba3576333f4188a276f848962c76184807fc458d5fb9b0,1eabe010fcfcfe1a2b36d1ebbfa686a86bd05498b2034a87565ba0892bbdebaa,4,2,1844154726293175647,4425154243183907800,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train004_analysis02.npz
walker__biped__static__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_005,8279b4eba7818e04426e3bc1a6dd3d3cd597a6e7f14735a65637f6a14027aa9f,a9c974cfb3921f1e965a8e608987aea2fc0776fd676843f7048c91ad3043dcb2,5,0,6537336262564968459,5568806234066008283,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train005_analysis00.npz
walker__biped__static__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_005,8279b4eba7818e04426e3bc1a6dd3d3cd597a6e7f14735a65637f6a14027aa9f,a9c974cfb3921f1e965a8e608987aea2fc0776fd676843f7048c91ad3043dcb2,5,1,7847246716821455116,5175985587420486963,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train005_analysis01.npz
walker__biped__static__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_005,8279b4eba7818e04426e3bc1a6dd3d3cd597a6e7f14735a65637f6a14027aa9f,a9c974cfb3921f1e965a8e608987aea2fc0776fd676843f7048c91ad3043dcb2,5,2,8874890859321386193,4629262467755900572,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train005_analysis02.npz
walker__biped__static__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_006,7d94a6b4b787e10c882419953ce0f7a9f770c5ee4781d8537303f940ddaaab2e,9fb3a101e2d9449bad056d521455e5ce816bf9ded813f8f084a5a26b65a4108b,6,0,4697810511805331226,1837341966890607914,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train006_analysis00.npz
walker__biped__static__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_006,7d94a6b4b787e10c882419953ce0f7a9f770c5ee4781d8537303f940ddaaab2e,9fb3a101e2d9449bad056d521455e5ce816bf9ded813f8f084a5a26b65a4108b,6,1,212357942801270703,7001556810303355477,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train006_analysis01.npz
walker__biped__static__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_006,7d94a6b4b787e10c882419953ce0f7a9f770c5ee4781d8537303f940ddaaab2e,9fb3a101e2d9449bad056d521455e5ce816bf9ded813f8f084a5a26b65a4108b,6,2,9197516287707139064,7789448062882196537,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train006_analysis02.npz
walker__biped__static__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_007,b4a18406e03efb77525a864b386eaef289630ebfc0fb3139f121366fc93f9c45,874fece134f80ec9d8bb7eac29fc2ff92b85ff2b647ac404ca2ccd3944b37e03,7,0,7273538705011962834,3327181185902024434,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train007_analysis00.npz
walker__biped__static__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_007,b4a18406e03efb77525a864b386eaef289630ebfc0fb3139f121366fc93f9c45,874fece134f80ec9d8bb7eac29fc2ff92b85ff2b647ac404ca2ccd3944b37e03,7,1,219581318861383269,6126904072154767176,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train007_analysis01.npz
walker__biped__static__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_007,b4a18406e03efb77525a864b386eaef289630ebfc0fb3139f121366fc93f9c45,874fece134f80ec9d8bb7eac29fc2ff92b85ff2b647ac404ca2ccd3944b37e03,7,2,7655123995385766933,8050610523573754527,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train007_analysis02.npz
walker__biped__static__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_008,7c5affa978d404a72be406daa99278161358babb86a4ac4c1b62ec240f8a0e00,ac6222f7bb2fb06eacc8e5e11c352a9c9d65e6fe4fdc931e9d017beab372cb99,8,0,4480449054597749916,4714160801966532834,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train008_analysis00.npz
walker__biped__static__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_008,7c5affa978d404a72be406daa99278161358babb86a4ac4c1b62ec240f8a0e00,ac6222f7bb2fb06eacc8e5e11c352a9c9d65e6fe4fdc931e9d017beab372cb99,8,1,8169066096088904802,2410012360361453569,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train008_analysis01.npz
walker__biped__static__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_008,7c5affa978d404a72be406daa99278161358babb86a4ac4c1b62ec240f8a0e00,ac6222f7bb2fb06eacc8e5e11c352a9c9d65e6fe4fdc931e9d017beab372cb99,8,2,1688151127694054410,5098444150450504360,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train008_analysis02.npz
walker__biped__static__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_009,cb8398b1a533a19a4fc081e6e0d46618329e03332e1f5f8bb535d338e90c99ee,932a889f6cc99bfabb207ed5875170a996f8c00f12d4fb66792a013ec184f22b,9,0,8469251633518957484,5579477484601834272,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train009_analysis00.npz
walker__biped__static__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_009,cb8398b1a533a19a4fc081e6e0d46618329e03332e1f5f8bb535d338e90c99ee,932a889f6cc99bfabb207ed5875170a996f8c00f12d4fb66792a013ec184f22b,9,1,5415548583552718452,3538497439875268043,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train009_analysis01.npz
walker__biped__static__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_009,cb8398b1a533a19a4fc081e6e0d46618329e03332e1f5f8bb535d338e90c99ee,932a889f6cc99bfabb207ed5875170a996f8c00f12d4fb66792a013ec184f22b,9,2,6075971192560964690,5235945277139461518,Walker-v0,biped,static,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_static_train009_analysis02.npz
walker__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_000,2c6e6b026ee677a78e9d744112611304c259ad9e06288c90c1e89bc39bd8badd,0eb5701f411aa47ac1e44eebe094581522cd785c4ed2e62bfc88f104abf0de6d,0,0,4940322620982477041,3023897764847979143,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train000_analysis00.npz
walker__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_000,2c6e6b026ee677a78e9d744112611304c259ad9e06288c90c1e89bc39bd8badd,0eb5701f411aa47ac1e44eebe094581522cd785c4ed2e62bfc88f104abf0de6d,0,1,530078296572617688,6966882572876332860,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train000_analysis01.npz
walker__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_000,2c6e6b026ee677a78e9d744112611304c259ad9e06288c90c1e89bc39bd8badd,0eb5701f411aa47ac1e44eebe094581522cd785c4ed2e62bfc88f104abf0de6d,0,2,7210830791768759910,3424438756091539107,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train000_analysis02.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,0,5232325836976384581,7172422899355977572,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis00.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,1,3184075494390970209,9147161066225580108,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis01.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,2,6337936886056088,9019669384804417704,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis02.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,0,4709125304908105630,1244304497912131803,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis00.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,1,6789895730674132307,2935584579999248951,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis01.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,2,2298876442789069326,7237655472595637189,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis02.npz
walker__biped__nchl__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_003,e15a4d9d9c51ddc2e9ec78035a4d9c4f27aaece9cd90565ef2a9794e844e224f,48d66aeb9e00e431834498cfabb6f6baad1444c56b5738bb617b7e3604e29c6f,3,0,6875887065855152501,8328361779180904825,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train003_analysis00.npz
walker__biped__nchl__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_003,e15a4d9d9c51ddc2e9ec78035a4d9c4f27aaece9cd90565ef2a9794e844e224f,48d66aeb9e00e431834498cfabb6f6baad1444c56b5738bb617b7e3604e29c6f,3,1,2344851983452959862,6171704884853545157,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train003_analysis01.npz
walker__biped__nchl__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_003,e15a4d9d9c51ddc2e9ec78035a4d9c4f27aaece9cd90565ef2a9794e844e224f,48d66aeb9e00e431834498cfabb6f6baad1444c56b5738bb617b7e3604e29c6f,3,2,3189270387817152734,2268335290108042879,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train003_analysis02.npz
walker__biped__nchl__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_004,de1d133581515e158a317db31d0047534d22c144c35c8a91816750a519a78390,176e555b9e6dd75db19973400b373b1815e6d847a929dda8224c2f804bdec8df,4,0,4675618027918977294,6264005447694142635,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train004_analysis00.npz
