run_id,task,morphology,training_seed,W0_mean_fitness,W25_mean_fitness,W50_mean_fitness,W75_mean_fitness,Wfinal_mean_fitness,delta_W25_from_W0,delta_W50_from_W0,delta_W75_from_W0,delta_Wfinal_from_W0,best_snapshot,best_snapshot_fitness
carrier__biped__nchl__seed_000,Carrier-v0,biped,0,-0.438133997404708,-0.37392741873786645,-0.48010997289130025,-0.7584003332891864,-0.38458724243276987,0.06420657866684154,-0.041975975486592265,-0.32026633588447845,0.053546754971938115,W25,-0.37392741873786645
carrier__biped__nchl__seed_001,Carrier-v0,biped,1,-0.4863061168662988,1.351449911413529,0.5723578074410919,0.07962363518229602,1.0234350270024992,1.8377560282798278,1.0586639243073908,0.5659297520485949,1.509741143868798,W25,1.351449911413529
carrier__biped__nchl__seed_002,Carrier-v0,biped,2,-0.41823479164302,-1.7224227374113232,0.015024559933812761,-0.08652243881341597,-0.40498874426300824,-1.3041879457683032,0.43325935157683276,0.33171235282960404,0.013246047380011783,W50,0.015024559933812761
carrier__biped__nchl__seed_003,Carrier-v0,biped,3,-0.37139846812426924,0.12768677729307784,-0.34449255029476933,-0.5223945349098332,-0.312446653800517,0.4990852454173471,0.026905917829499915,-0.150996066785564,0.05895181432375224,W25,0.12768677729307784
carrier__biped__nchl__seed_004,Carrier-v0,biped,4,-0.4840796893020382,0.0017292247684203381,1.5592876101245772,1.199318141615967,1.4441110067136858,0.48580891407045856,2.0433672994266154,1.6833978309180053,1.928190696015724,W50,1.5592876101245772
carrier__biped__nchl__seed_005,Carrier-v0,biped,5,-0.44188554214558934,-0.30995859512415697,-0.27724737146802475,-0.3467302740573686,-0.5059309940209715,0.13192694702143237,0.1646381706775646,0.09515526808822072,-0.06404545187538219,W50,-0.27724737146802475
carrier__biped__nchl__seed_006,Carrier-v0,biped,6,-0.5091708151042661,0.8865209841169103,-0.7559761909899336,-0.6648985354397835,-1.1207584959590569,1.3956917992211764,-0.24680537588566753,-0.1557277203355174,-0.6115876808547908,W25,0.8865209841169103
carrier__biped__nchl__seed_007,Carrier-v0,biped,7,-0.5316970839306293,1.0533802345534644,0.9464697842536022,0.9948299735051904,1.051039654399991,1.5850773184840938,1.4781668681842315,1.5265270574358198,1.5827367383306203,W25,1.0533802345534644
carrier__biped__nchl__seed_008,Carrier-v0,biped,8,-0.5512536585061382,-0.01681041247389074,-0.05479903153651825,0.5343608310918971,0.6076782129843652,0.5344432460322475,0.4964546269696199,1.0856144895980353,1.1589318714905033,Wfinal,0.6076782129843652
carrier__biped__nchl__seed_009,Carrier-v0,biped,9,-0.6657747577917013,-1.8237868294013282,-1.3666604143348913,-0.597556351928254,-1.3615415450697377,-1.158012071609627,-0.70088565654319,0.0682184058634473,-0.6957667872780364,W75,-0.597556351928254
