run_id,source_run,config_digest,training_seed,heldout_index,environment_seed,controller_seed,task,morphology,controller,hidden_sizes,fitness,episode_length,terminated,truncated
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,1,7,7039039438944557526,3277919053722367275,Walker-v0,biped,static,[40],3.8449812083160877,500,False,True
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,1,8,8913488881029948486,6917414742213769952,Walker-v0,biped,static,[40],3.8449812083160877,500,False,True
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,1,9,4007394494518297957,8423074000648814785,Walker-v0,biped,static,[40],3.8449812083160877,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,0,4230894684372711901,6222167826234217461,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,1,1163185520618364184,544058585009018821,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,2,2472434351689430859,4453648751983994907,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,3,8013714420002427233,8067877515895014892,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,4,2932681156841783258,2410604093573401826,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,5,5834202217370762135,6663685495133766966,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,6,4883162045590494258,6827307323403476428,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,7,4522029365851341047,6388884499398941182,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,8,614500039188447434,7452728859960895078,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,2,9,4453722807929485695,3781659225724620415,Walker-v0,biped,static,[40],5.674129390250368,500,False,True
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,3,0,8881535631555494234,3931990190546281986,Walker-v0,biped,static,[40],6.006766148832288,500,False,True
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,3,1,8734605190961062180,7784368076591332514,Walker-v0,biped,static,[40],6.006766148832288,500,False,True
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,3,2,4312247597946672341,7760047502131688068,Walker-v0,biped,static,[40],6.006766148832288,500,False,True
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,3,3,3453523276343680990,1201054970016342327,Walker-v0,biped,static,[40],6.006766148832288,500,False,True
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,3,4,3893846781175313117,5380568399655525730,Walker-v0,biped,static,[40],6.006766148832288,500,False,True
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,3,5,6360889852892422841,2908508732276710073,Walker-v0,biped,static,[40],6.006766148832288,500,False,True
walker__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_003,1cc64e6f578e69e0f2714d4df09a0a651df1c8afbda46eaac634ef58727e59ba,3,6,3529884755902212673,7780655385300686271,Walker-v0,biped,static,[40],6.006766148832288,500,False,True
