run_id,source_run,config_digest,genome_sha256,training_seed,analysis_index,environment_seed,controller_seed,task,morphology,controller,hidden_sizes,episode_length,snapshot,state,mean,std,mean_abs,rms,min,max,mean_update_rms,mean_update_mean_abs
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,2,7210830791768759910,3424438756091539107,Walker-v0,biped,static,"(40,)",500,W0,0,-0.018409270552789774,1.748159831744263,1.3886753750662442,1.7482567599086858,-6.845483779907227,5.944579124450684,0.0,0.0
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,2,7210830791768759910,3424438756091539107,Walker-v0,biped,static,"(40,)",500,W25,125,-0.018409270552789774,1.748159831744263,1.3886753750662442,1.7482567599086858,-6.845483779907227,5.944579124450684,0.0,0.0
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,2,7210830791768759910,3424438756091539107,Walker-v0,biped,static,"(40,)",500,W50,250,-0.018409270552789774,1.748159831744263,1.3886753750662442,1.7482567599086858,-6.845483779907227,5.944579124450684,0.0,0.0
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,2,7210830791768759910,3424438756091539107,Walker-v0,biped,static,"(40,)",500,W75,375,-0.018409270552789774,1.748159831744263,1.3886753750662442,1.7482567599086858,-6.845483779907227,5.944579124450684,0.0,0.0
walker__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_000,fa37097d088b39394ee1f29e39176aeb3baebd9da81506bd3eb9274ed07082c1,0d850fa5d7d8f982f6bca2b77d2422d2d300ae6e81b640d522d6114a014333c7,0,2,7210830791768759910,3424438756091539107,Walker-v0,biped,static,"(40,)",500,Wfinal,500,-0.018409270552789774,1.748159831744263,1.3886753750662442,1.7482567599086858,-6.845483779907227,5.944579124450684,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,0,5232325836976384581,7172422899355977572,Walker-v0,biped,static,"(40,)",500,W0,0,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,0,5232325836976384581,7172422899355977572,Walker-v0,biped,static,"(40,)",500,W25,125,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,0,5232325836976384581,7172422899355977572,Walker-v0,biped,static,"(40,)",500,W50,250,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,0,5232325836976384581,7172422899355977572,Walker-v0,biped,static,"(40,)",500,W75,375,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,0,5232325836976384581,7172422899355977572,Walker-v0,biped,static,"(40,)",500,Wfinal,500,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
