task,morphology,snapshot,snapshot_fraction,independent_runs,mean,sd,median,q1,q3,min,max
Carrier-v0,biped,W0,0.0,10,-0.4897934920818659,0.0823440366099523,-0.4851929030841685,-0.5260655167240385,-0.4390718835899283,-0.6657747577917013,-0.37139846812426924
Carrier-v0,biped,W25,0.25,10,-0.08261388610031638,1.0645353560762296,-0.007540593852735201,-0.3579352128344391,0.6968124324109521,-1.8237868294013282,1.351449911413529
Carrier-v0,biped,W50,0.5,10,-0.018614576976235364,0.8511330688198478,-0.1660232015022715,-0.4462056172421675,0.43302449556427214,-1.3666604143348913,1.5592876101245772
Carrier-v0,biped,W75,0.75,10,-0.0168369887042491,0.7064807968888871,-0.2166263564353923,-0.5787658976736487,0.42067653211449685,-0.7584003332891864,1.199318141615967
Carrier-v0,biped,Wfinal,1.0,10,0.003601022555447986,0.9650624990497392,-0.34851694811664347,-0.4806954315814807,0.9194958234979658,-1.3615415450697377,1.4441110067136858
Jumper-v0,biped,W0,0.0,10,-0.16797927759576045,0.008406732210197065,-0.1657842145273733,-0.17262605114783558,-0.16148878015293197,-0.18339695232692152,-0.15745772707433936
Jumper-v0,biped,W25,0.25,10,-2.133184304468031,3.1026031355054893,-0.8775535552642109,-2.9504724890508744,-0.16013492882174518,-10.148412049968163,0.10583649486003488
Jumper-v0,biped,W50,0.5,10,-2.911996749224783,3.445658508224731,-2.1163783982510167,-3.4240734990031765,-0.9613422934388627,-11.710623162117537,0.07503156490344887
Jumper-v0,biped,W75,0.75,10,-2.704728172466756,2.741076352048155,-2.096630321132718,-3.601110168880241,-0.9886214348668207,-9.44154918090349,-0.020659212137548916
Jumper-v0,biped,Wfinal,1.0,10,-2.0931336097643625,2.1354922377143164,-1.5592119685141848,-2.660515971909074,-0.6376377372001704,-7.494017445369653,-0.2630812594186834
Thrower-v0,biped,W0,0.0,10,0.3381895139681592,0.03915634093913829,0.34555765661206367,0.3198500931752125,0.3599724925706454,0.2789537161647572,0.4011581279856164
Thrower-v0,biped,W25,0.25,10,0.3383762321225135,0.2131141444046677,0.33210067721412756,0.29696504550828684,0.351804609473153,-0.032886147994775995,0.8336989853130962
Thrower-v0,biped,W50,0.5,10,0.34578239244661957,0.21633853717085294,0.3839856611829656,0.27450325220915284,0.43795898275628903,-0.13919360727345073,0.7117151805981633
Thrower-v0,biped,W75,0.75,10,0.4822120111561884,0.2735324389933604,0.4836624643930659,0.36635130892011925,0.6337355261845103,-0.052638645048827794,0.863101150581918
Thrower-v0,biped,Wfinal,1.0,10,0.49795209300614796,0.24476253057197642,0.41672234796795865,0.3194226219753273,0.6671568951252531,0.20392165676209292,0.8924231259684047
Thrower-v0,thrower_arm,W0,0.0,10,0.24349880700857224,0.20074797484222962,0.31242584592753025,0.2920968766883824,0.3537298900890691,-0.13753332929434112,0.41455500298666137
Thrower-v0,thrower_arm,W25,0.25,10,1.08698460348949,0.24732108947445444,1.0801908980866908,0.8906102153068493,1.1860223220208004,0.8071387900526462,1.622088250616202
Thrower-v0,thrower_arm,W50,0.5,10,1.0373856687407694,0.499832464787227,1.006304646016655,0.6635821793372099,1.3742235324377812,0.41679540465793213,1.943679096441776
Thrower-v0,thrower_arm,W75,0.75,10,1.1716020496505617,0.6364535247575274,1.1301371729545082,0.7765270157140425,1.794935345072536,0.05668022713526418,1.8510539882093724
Thrower-v0,thrower_arm,Wfinal,1.0,10,1.3687035260931242,0.769474587643471,1.1929245893603,0.8826319376779059,1.8485715498000188,0.28622817908126913,2.8427533794062962
Walker-v0,biped,W0,0.0,10,0.0001657867019205429,0.010209359448467775,0.004198717785328598,-0.004843176900652816,0.005601291353775896,-0.0174493617717633,0.014330994802557265
Walker-v0,biped,W25,0.25,10,2.2633670929090144,1.7051850364331604,3.11328695447701,1.1393711936968063,3.401067916887733,-1.2744140962420103,3.7243256820189465
Walker-v0,biped,W50,0.5,10,2.2416994772085856,1.9501163289872738,3.047990105180941,0.9414744798619005,3.5252414818301245,-1.1832092567503476,4.3116634128708275
Walker-v0,biped,W75,0.75,10,2.0303593741589134,2.135926403191721,2.7612834032194136,0.38016011272770694,3.69240814740979,-1.240316207233972,4.156798233394704
Walker-v0,biped,Wfinal,1.0,10,2.381082749261213,2.0981396477471446,3.3166221301391126,1.5684264272120767,3.8267684213327864,-1.4522247693912809,4.411272664035012
