generation,best_fitness,best_so_far_fitness,mean_fitness,median_fitness,std_fitness,evaluation_count,elapsed_seconds
0,0.035904480738873645,0.035904480738873645,-0.9929973548647071,-0.5360943873262246,1.0798105428312645,40,7.8119365107268095
1,0.09810654700526278,0.09810654700526278,-0.9818392856588289,-0.36972710246334595,1.383355858225951,80,1.7321924921125174
2,0.09810654700526278,0.09810654700526278,-1.3120507536650838,-0.26606373912116954,2.483934346761273,120,1.5834920071065426
3,0.09810654700526278,0.09810654700526278,-0.6023316731705858,-0.29034076617459076,1.0683167597034255,160,1.5852488186210394
4,0.12779847712486858,0.12779847712486858,-0.30655243851445324,-0.16076710151905121,0.5696771788407367,200,1.5956113133579493
5,0.12779847712486858,0.12779847712486858,-0.5771753278089642,-0.24626037890896874,1.2058784263897582,240,1.5202004164457321
6,0.12779847712486858,0.12779847712486858,-0.9278618228514615,-0.18737389815931427,1.532929049720039,280,1.4525318685919046
7,0.12779847712486858,0.12779847712486858,-0.6908120764871868,-0.14772315924017176,1.527267332798598,320,1.4803501069545746
8,0.12779847712486858,0.12779847712486858,-0.4787056837697132,-0.17377781179569535,1.118020306706472,360,1.4786520637571812
9,0.12779847712486858,0.12779847712486858,-0.4945705957436406,-0.23161626403284397,0.9518700997139318,400,1.4698992725461721
10,0.14095186764811696,0.14095186764811696,-0.34789577554011675,-0.17674105847544724,0.4904361911915898,440,1.475992564111948
11,0.16007618120600087,0.16007618120600087,-0.27314674504356073,-0.07474430694194234,0.43646629363881556,480,1.5012844875454903
12,0.16007618120600087,0.16007618120600087,-0.6625472394904445,-0.12300585845317513,1.7492834240493296,520,1.636724030598998
13,0.16007618120600087,0.16007618120600087,-0.0687572741478003,-0.05744022293311557,0.14771886789816283,560,1.4497086759656668
14,0.16007618120600087,0.16007618120600087,-0.2997311235515208,-0.03821990917692142,0.6297721541046588,600,1.4689220041036606
15,0.16007618120600087,0.16007618120600087,-0.48902925884205717,-0.050886423310676776,1.0725472219089915,640,1.5036019627004862
16,0.16007618120600087,0.16007618120600087,-0.2980723491038811,-0.07136131016308139,0.6340988874341076,680,1.4182930495589972
